gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat,S11_CMLate
107,10339.75,0,10339.75,102.56458497047424,13.902439024390242,3822733.975,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
108,10339.75,0,10339.75,88.47466659545898,13.57723577235772,2090744.7166666666,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
109,10339.75,0,10339.75,117.3719093799591,22.032520325203247,4353597.625,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
110,10339.75,0,10339.75,109.05065822601318,19.552845528455283,4318321.633333334,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
111,10339.75,0,10339.75,102.03401398658752,18.333333333333332,4884592.158333333,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
112,10339.75,0,10339.75,80.40068411827087,28.902439024390247,5918726.458333333,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
113,10339.75,0,10339.75,73.12981152534485,35.447154471544714,8044473.775,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
114,10339.75,0,10339.75,81.87326765060425,41.86991869918699,6385288.775,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
115,10339.75,0,10339.75,94.11240148544312,18.65853658536585,1859497.4916666667,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
116,10339.75,0,10339.75,106.6887993812561,6.056910569105691,1029098.8333333334,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
117,10332.75,0,10332.75,113.99817395210266,5.650406504065041,663319.5916666667,0,10332.75,0,0,0,0,0,1410,1480,4500,700,0,210
118,10332.75,0,10332.75,98.3612892627716,11.666666666666666,960793.45,0,10332.75,0,0,0,0,0,1410,1480,4500,700,0,210
119,10332.75,0,10332.75,72.8284080028534,15.731707317073171,2054125.825,0,10332.75,0,0,0,0,0,1410,1480,4500,700,0,210
120,10332.75,0,10332.75,84.1015465259552,20.894308943089428,3885838.183333333,0,10332.75,0,0,0,0,0,1410,1480,4500,700,0,210
